scrip_code,isin,symbol,nse_symbol,company,group,market_cap_cr,market_cap_category,market_cap_date,macro_sector,sector,industry,basic_industry,primary_index,added_date,last_updated
532698,INE229H01012,NITINSPIN,NITINSPIN,Nitin Spinners Ltd.,B,1984.0,Micro Cap,2026-03-13,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,NIFTY 500,2026-03-13,2026-03-13
532699,INE283H01019,ROHLTD,ROHLTD,Royal Orchid Hotels Ltd,B,904.07,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,NIFTY SERVICES SECTOR,2026-03-13,2026-03-13
532700,INE265F01028,ENIL,ENIL,Entertainment Network (India) Ltd,B,507.45,Micro Cap,2026-03-13,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment,NIFTY MEDIA,2026-03-13,2026-03-13
532705,INE199G01027,JAGRAN,JAGRAN,Jagran Prakashan Limited,B,1371.66,Micro Cap,2026-03-13,Consumer Discretionary,Media Entertainment & Publication,Media,Print Media,NIFTY MEDIA,2026-03-13,2026-03-13
532707,INE256H01015,DYNPRO,DYNPRO,Dynemic Products Ltd.,B,260.56,Micro Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,NIFTY 500,2026-03-13,2026-03-13
532713,INE190H01024,SAKUMA,SAKUMA,Sakuma Exports Ltd.,B,250.83,Micro Cap,2026-03-13,Services,Services,Commercial Services & Supplies,Trading & Distributors,NIFTY 500,2026-03-13,2026-03-13
532716,INE047B01011,GILLANDERS,GILLANDERS,Gillanders Arbuthnot & Co. Ltd.,B,175.07,Micro Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,NIFTY 500,2026-03-13,2026-03-13
532717,INE332H01014,INDOTECH,INDOTECH,Indo Tech Transformers Limited,B,1434.76,Micro Cap,2026-03-13,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,NIFTY 500,2026-03-13,2026-03-13
532719,INE350H01032,BLKASHYAP,BLKASHYAP,B L Kashyap and Sons Ltd,B,1122.69,Micro Cap,2026-03-13,Industrials,Construction,Construction,Civil Construction,NIFTY REALTY,2026-03-13,2026-03-13
532721,INE286H01012,VISASTEEL,VISASTEEL,Visa Steel Limited,B,439.07,Micro Cap,2026-03-13,Commodities,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese,-,2026-03-13,2026-03-13
532722,INE858F01012,NITCO,NITCO,Nitco Ltd.,B,1552.49,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,NIFTY 500,2026-03-13,2026-03-13
532726,INE297H01019,GALLANTT,GALLANTT,GALLANTT ISPAT LIMITED,B,13114.83,Small Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,NIFTY METAL,2026-03-13,2026-03-13
532728,INE383H01017,MALUPAPER,MALUPAPER,Malu Paper Mills Limited,B,54.42,Micro Cap,2026-03-13,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,-,2026-03-13,2026-03-13
532729,INE786F01031,UTTAMSUGAR,UTTAMSUGAR,Uttam Sugar Mills Ltd,B,744.84,Micro Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,NIFTY FMCG,2026-03-13,2026-03-13
532730,INE353H01010,SGL,SGL,STL Global Ltd,B,30.28,Micro Cap,2026-03-13,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,NIFTY 500,2026-03-13,2026-03-13
532732,INE401H01017,KKCL,KKCL,Kewal Kiran Clothing Ltd.,B,2888.06,Micro Cap,2026-03-13,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,NIFTY 500,2026-03-13,2026-03-13
532735,INE411H01032,RSYSTEMS,RSYSTEMS,R Systems International Limited,B,3255.29,Micro Cap,2026-03-13,Information Technology,Information Technology,IT - Services,IT Enabled Services,NIFTY IT,2026-03-13,2026-03-13
532737,INE296H01011,EMKAY,EMKAY,Emkay Global Financial Services Ltd,B,552.55,Micro Cap,2026-03-13,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,NIFTY FINANCIAL SERVICES,2026-03-13,2026-03-13
